"MODFACTOR_TYPE";"DESCRIPTION";"VALUE";"VALID_FROM";"VALID_TO"
1;"MKBB Casco együttkötési kedvezmény";"0.90";"2010-01-01";"2010-12-31"
2;"Banki csoportos beszedés kedvezmény";"0.95";"2010-01-01";"2010-12-31"
3;"ONLINE4";"0.96";"2010-01-01";"2010-12-31"
4;"ONLINE8";"0.92";"2010-01-01";"2010-12-31"
5;"Gyermek kedvezmény";"0.70";"2010-01-01";"2010-12-31"
6;"MKBB partner kedvezmény";"0.90";"2010-01-01";"2010-12-31"
7;"email kedvezmény";"0.98";"2010-01-01";"2010-12-31"
8;"Extra kármentességi kedvezmény";"0.80";"2010-01-01";"2010-12-31"
9;"Üzemeltetési pótdíj";"1.50";"2010-01-01";"2010-12-31"
1;"MKBB Casco együttkötési kedvezmény";"0.85";"2011-01-01";"2011-12-31"
10;"Nem MKBB-s Casco kedvezmény";"0.90";"2011-01-01";"2011-12-31"
2;"Csoportos beszedési megbízás / Átutalás";"0.90";"2011-01-01";"2011-12-31"
3;"Értékesitési partner kedvezmény";"0.90";"2011-01-01";"2011-12-31"
5;"Gyermek kedvezmény";"0.65";"2011-01-01";"2011-12-31"
6;"MKBB partner kedvezmény";"0.85";"2011-01-01";"2011-12-31"
7;"email kedvezmény";"0.98";"2011-01-01";"2011-12-31"
8;"Extra kármentességi kedvezmény";"0.75";"2011-01-01";"2011-12-31"
9;"Üzemeltetési pótdíj";"1.50";"2011-01-01";"2011-12-31"
11;"Köztisztviselő kedvezmény";"0.80";"2011-01-01";"2011-12-31"
12;"Közalkalmazotti kedvezmény";"0.80";"2011-01-01";"2011-12-31"
13;"Tanári kedvezmény";"0.75";"2011-01-01";"2011-12-31"
14;"Kisvállalkozói kedvezmény";"0.90";"2011-01-01";"2011-12-31"
15;"Kampány kedvezmény";"0.90";"2011-01-01";"2011-12-31"
16;"Német-magyar kereskedelmi kamarai tagság";0;"2011-01-01";"2011-12-31"
