"DURATION_TYPE";"CCAPACITY_MIN";"CCAPACITY_MAX";"POWER_MIN";"POWER_MAX";"BASETARIFF";"VALID_FROM";"VALID_TO"
1;0;150;-1;-1;15500;"2010-01-01";"2010-12-31"
1;151;350;-1;-1;21300;"2010-01-01";"2010-12-31"
1;351;750;-1;-1;79000;"2010-01-01";"2010-12-31"
1;751;1000;-1;-1;97000;"2010-01-01";"2010-12-31"
1;1001;999999;-1;-1;119000;"2010-01-01";"2010-12-31"
1;-1;-1;0;12;25000;"2011-01-01";"2011-12-31"
1;-1;-1;13;35;56000;"2011-01-01";"2011-12-31"
1;-1;-1;36;70;79000;"2011-01-01";"2011-12-31"
1;-1;-1;71;999999;130000;"2011-01-01";"2011-12-31"
